N: 1, uva: 1.02, uvb: 0.05, uvc: 0.05, temp: 18.90
N: 2, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 18.95
N: 3, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.05
N: 4, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 5, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 6, uva: 1.01, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 7, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 8, uva: 1.07, uvb: 0.13, uvc: 0.10, temp: 19.15
N: 9, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 10, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 11, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 12, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 13, uva: 1.01, uvb: 0.06, uvc: 0.05, temp: 19.10
N: 14, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 15, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 16, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 17, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 18, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 19, uva: 1.05, uvb: 0.11, uvc: 0.09, temp: 19.10
N: 20, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 21, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 22, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 23, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 24, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 25, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 26, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 27, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 28, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 29, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 30, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 31, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 32, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 33, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 34, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 35, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.10
N: 36, uva: 1.00, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 37, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 38, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 39, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 40, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.10
N: 41, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 42, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 43, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 44, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 45, uva: 1.07, uvb: 0.12, uvc: 0.10, temp: 19.15
N: 46, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 47, uva: 1.03, uvb: 0.10, uvc: 0.08, temp: 19.15
N: 48, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 49, uva: 1.03, uvb: 0.09, uvc: 0.08, temp: 19.15
N: 50, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 51, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 52, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 53, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 54, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 55, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 56, uva: 1.03, uvb: 0.09, uvc: 0.08, temp: 19.15
N: 57, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 58, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 59, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 60, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 61, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 62, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 63, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 64, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 65, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 66, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 67, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 68, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 69, uva: 1.03, uvb: 0.09, uvc: 0.08, temp: 19.15
N: 70, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.15
N: 71, uva: 1.05, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 72, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 73, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.10
N: 74, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 75, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 76, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.15
N: 77, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 78, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 79, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 80, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 81, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 82, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 83, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 84, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 85, uva: 1.01, uvb: 0.06, uvc: 0.05, temp: 19.15
N: 86, uva: 1.05, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 87, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 88, uva: 1.05, uvb: 0.10, uvc: 0.08, temp: 19.20
N: 89, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.15
N: 90, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 91, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 92, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 93, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 94, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 95, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 96, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 97, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 98, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 99, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 100, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 101, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 102, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 103, uva: 1.01, uvb: 0.06, uvc: 0.05, temp: 19.20
N: 104, uva: 1.01, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 105, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 106, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 107, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 108, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 109, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 110, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 111, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 112, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 113, uva: 1.03, uvb: 0.09, uvc: 0.08, temp: 19.20
N: 114, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 115, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 116, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 117, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 118, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 119, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 120, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 121, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 122, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 123, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 124, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 125, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 126, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 127, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 128, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 129, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 130, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 131, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 132, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 133, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 134, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 135, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 136, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 137, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 138, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 139, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 140, uva: 1.05, uvb: 0.09, uvc: 0.08, temp: 19.20
N: 141, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 142, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 143, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
