N: 0, uva: 112.59, uvb: 0.14, uvc: 0.25, temp: 18.15
N: 2, uva: 111.93, uvb: 0.16, uvc: 0.26, temp: 18.20
N: 4, uva: 111.94, uvb: 0.17, uvc: 0.26, temp: 18.20
N: 6, uva: 111.80, uvb: 0.16, uvc: 0.26, temp: 18.20
N: 8, uva: 111.48, uvb: 0.17, uvc: 0.26, temp: 18.20
N: 10, uva: 111.82, uvb: 0.17, uvc: 0.27, temp: 18.20
N: 12, uva: 111.53, uvb: 0.16, uvc: 0.26, temp: 18.20
N: 14, uva: 111.35, uvb: 0.17, uvc: 0.26, temp: 18.20
N: 16, uva: 111.51, uvb: 0.17, uvc: 0.26, temp: 18.15
N: 18, uva: 111.09, uvb: 0.15, uvc: 0.24, temp: 18.15
N: 20, uva: 111.24, uvb: 0.16, uvc: 0.27, temp: 18.15
N: 22, uva: 111.17, uvb: 0.14, uvc: 0.24, temp: 18.15
N: 24, uva: 111.30, uvb: 0.16, uvc: 0.25, temp: 18.20
N: 26, uva: 110.73, uvb: 0.15, uvc: 0.26, temp: 18.20
N: 28, uva: 97.48, uvb: 0.15, uvc: 0.24, temp: 18.20
N: 30, uva: 89.37, uvb: 0.11, uvc: 0.17, temp: 18.20
N: 32, uva: 87.28, uvb: 0.12, uvc: 0.18, temp: 18.20
N: 34, uva: 99.83, uvb: 0.16, uvc: 0.27, temp: 18.20
N: 36, uva: 98.74, uvb: 0.16, uvc: 0.26, temp: 18.20
N: 38, uva: 97.36, uvb: 0.14, uvc: 0.24, temp: 18.20
N: 40, uva: 104.94, uvb: 0.18, uvc: 0.29, temp: 18.15
N: 42, uva: 104.54, uvb: 0.17, uvc: 0.29, temp: 18.20
N: 44, uva: 104.52, uvb: 0.18, uvc: 0.30, temp: 18.15
N: 46, uva: 104.50, uvb: 0.18, uvc: 0.28, temp: 18.20
N: 48, uva: 104.42, uvb: 0.18, uvc: 0.29, temp: 18.20
N: 50, uva: 104.60, uvb: 0.18, uvc: 0.28, temp: 18.20
N: 52, uva: 104.49, uvb: 0.18, uvc: 0.30, temp: 18.15
N: 54, uva: 104.25, uvb: 0.17, uvc: 0.28, temp: 18.20
N: 56, uva: 104.15, uvb: 0.18, uvc: 0.28, temp: 18.15
N: 58, uva: 104.11, uvb: 0.20, uvc: 0.31, temp: 18.20
N: 60, uva: 104.22, uvb: 0.19, uvc: 0.31, temp: 18.20
N: 62, uva: 104.19, uvb: 0.18, uvc: 0.28, temp: 18.20
N: 64, uva: 77.53, uvb: 0.12, uvc: 0.18, temp: 18.20
N: 66, uva: 77.58, uvb: 0.12, uvc: 0.18, temp: 18.20
N: 68, uva: 85.06, uvb: 0.16, uvc: 0.27, temp: 18.20
N: 70, uva: 80.34, uvb: 0.17, uvc: 0.28, temp: 18.20
N: 72, uva: 84.61, uvb: 0.21, uvc: 0.33, temp: 18.20
N: 74, uva: 83.44, uvb: 0.20, uvc: 0.31, temp: 18.20
N: 76, uva: 87.54, uvb: 0.24, uvc: 0.33, temp: 18.20
N: 78, uva: 87.38, uvb: 0.22, uvc: 0.32, temp: 18.20
N: 80, uva: 87.58, uvb: 0.22, uvc: 0.33, temp: 18.20
N: 82, uva: 87.33, uvb: 0.22, uvc: 0.33, temp: 18.20
N: 84, uva: 87.30, uvb: 0.22, uvc: 0.32, temp: 18.20
N: 86, uva: 87.19, uvb: 0.21, uvc: 0.32, temp: 18.20
N: 88, uva: 86.91, uvb: 0.25, uvc: 0.35, temp: 18.20
N: 90, uva: 87.08, uvb: 0.22, uvc: 0.32, temp: 18.20
N: 92, uva: 86.78, uvb: 0.22, uvc: 0.33, temp: 18.20
N: 94, uva: 86.77, uvb: 0.24, uvc: 0.34, temp: 18.25
N: 96, uva: 86.83, uvb: 0.23, uvc: 0.33, temp: 18.25
N: 98, uva: 86.80, uvb: 0.25, uvc: 0.35, temp: 18.25
N: 100, uva: 86.85, uvb: 0.22, uvc: 0.32, temp: 18.20
N: 102, uva: 86.42, uvb: 0.22, uvc: 0.32, temp: 18.25
N: 104, uva: 86.30, uvb: 0.23, uvc: 0.32, temp: 18.20
N: 106, uva: 86.33, uvb: 0.23, uvc: 0.34, temp: 18.20
N: 108, uva: 74.23, uvb: 0.19, uvc: 0.28, temp: 18.20
N: 110, uva: 70.99, uvb: 0.17, uvc: 0.25, temp: 18.25
N: 112, uva: 72.71, uvb: 0.17, uvc: 0.25, temp: 18.25
N: 114, uva: 71.53, uvb: 0.15, uvc: 0.24, temp: 18.25
N: 116, uva: 61.61, uvb: 0.19, uvc: 0.26, temp: 18.25
N: 118, uva: 45.82, uvb: 0.20, uvc: 0.24, temp: 18.25
N: 120, uva: 47.15, uvb: 0.22, uvc: 0.26, temp: 18.25
N: 122, uva: 37.16, uvb: 0.22, uvc: 0.24, temp: 18.25
N: 124, uva: 45.34, uvb: 0.34, uvc: 0.29, temp: 18.25
N: 126, uva: 45.33, uvb: 0.34, uvc: 0.29, temp: 18.30
N: 128, uva: 45.35, uvb: 0.36, uvc: 0.30, temp: 18.30
N: 130, uva: 45.17, uvb: 0.32, uvc: 0.26, temp: 18.25
N: 132, uva: 45.14, uvb: 0.32, uvc: 0.26, temp: 18.25
N: 134, uva: 45.13, uvb: 0.36, uvc: 0.30, temp: 18.25
N: 136, uva: 45.14, uvb: 0.32, uvc: 0.27, temp: 18.25
N: 138, uva: 45.19, uvb: 0.36, uvc: 0.29, temp: 18.25
N: 140, uva: 45.14, uvb: 0.36, uvc: 0.30, temp: 18.25
N: 142, uva: 44.96, uvb: 0.36, uvc: 0.30, temp: 18.25
N: 144, uva: 45.06, uvb: 0.34, uvc: 0.28, temp: 18.25
N: 146, uva: 45.02, uvb: 0.38, uvc: 0.31, temp: 18.25
N: 148, uva: 0.21, uvb: 0.07, uvc: 0.05, temp: 18.25
N: 150, uva: 0.20, uvb: 0.06, uvc: 0.04, temp: 18.25
N: 152, uva: 45.07, uvb: 0.34, uvc: 0.28, temp: 18.25
N: 154, uva: 44.97, uvb: 0.36, uvc: 0.30, temp: 18.25
N: 156, uva: 16.40, uvb: 0.20, uvc: 0.14, temp: 18.25
N: 158, uva: 17.85, uvb: 0.27, uvc: 0.17, temp: 18.25
N: 160, uva: 43.54, uvb: 0.35, uvc: 0.29, temp: 18.25
N: 162, uva: 44.82, uvb: 0.33, uvc: 0.28, temp: 18.25
N: 164, uva: 17.50, uvb: 0.16, uvc: 0.14, temp: 18.25
N: 166, uva: 44.62, uvb: 0.34, uvc: 0.28, temp: 18.25
N: 168, uva: 44.78, uvb: 0.35, uvc: 0.28, temp: 18.25
N: 170, uva: 44.71, uvb: 0.33, uvc: 0.27, temp: 18.25
N: 172, uva: 44.66, uvb: 0.35, uvc: 0.29, temp: 18.25
N: 174, uva: 22.29, uvb: 0.15, uvc: 0.15, temp: 18.25
N: 176, uva: 44.47, uvb: 0.36, uvc: 0.30, temp: 18.25
N: 178, uva: 31.15, uvb: 0.32, uvc: 0.23, temp: 18.25
N: 180, uva: 44.39, uvb: 0.32, uvc: 0.27, temp: 18.25
N: 182, uva: 44.10, uvb: 0.31, uvc: 0.27, temp: 18.25
N: 184, uva: 43.58, uvb: 0.32, uvc: 0.27, temp: 18.25
N: 186, uva: 44.31, uvb: 0.35, uvc: 0.29, temp: 18.25
N: 188, uva: 44.38, uvb: 0.34, uvc: 0.28, temp: 18.25
N: 190, uva: 42.52, uvb: 0.29, uvc: 0.26, temp: 18.25
N: 192, uva: 41.13, uvb: 0.27, uvc: 0.25, temp: 18.25
N: 194, uva: 34.80, uvb: 0.25, uvc: 0.22, temp: 18.30
N: 196, uva: 19.34, uvb: 0.37, uvc: 0.19, temp: 18.30
N: 198, uva: 16.63, uvb: 0.43, uvc: 0.18, temp: 18.30
N: 200, uva: 19.25, uvb: 0.45, uvc: 0.22, temp: 18.30
N: 202, uva: 21.91, uvb: 0.45, uvc: 0.23, temp: 18.30
N: 204, uva: 23.73, uvb: 0.44, uvc: 0.22, temp: 18.25
N: 206, uva: 24.12, uvb: 0.43, uvc: 0.22, temp: 18.25
N: 208, uva: 23.33, uvb: 0.46, uvc: 0.24, temp: 18.30
N: 210, uva: 23.29, uvb: 0.44, uvc: 0.23, temp: 18.30
N: 212, uva: 23.27, uvb: 0.44, uvc: 0.22, temp: 18.30
N: 214, uva: 23.31, uvb: 0.47, uvc: 0.24, temp: 18.30
N: 216, uva: 23.02, uvb: 0.45, uvc: 0.23, temp: 18.30
N: 218, uva: 22.73, uvb: 0.43, uvc: 0.21, temp: 18.30
N: 220, uva: 23.03, uvb: 0.46, uvc: 0.24, temp: 18.30
N: 222, uva: 22.72, uvb: 0.44, uvc: 0.23, temp: 18.25
N: 224, uva: 22.66, uvb: 0.45, uvc: 0.23, temp: 18.25
N: 226, uva: 22.76, uvb: 0.46, uvc: 0.24, temp: 18.25
N: 228, uva: 22.69, uvb: 0.43, uvc: 0.22, temp: 18.20
N: 230, uva: 22.38, uvb: 0.44, uvc: 0.23, temp: 18.20
N: 232, uva: 22.43, uvb: 0.43, uvc: 0.21, temp: 18.20
N: 234, uva: 23.13, uvb: 0.44, uvc: 0.22, temp: 18.25
N: 236, uva: 22.59, uvb: 0.45, uvc: 0.23, temp: 18.20
N: 238, uva: 21.92, uvb: 0.43, uvc: 0.22, temp: 18.20
N: 240, uva: 13.70, uvb: 0.37, uvc: 0.17, temp: 18.25
